MakerBot, ORANGE, PLA (POLYLACTIC ACID), 8.1 ounces, 1.75 millimeters, https://www.amazon.com/MakerBot-Filament-Diameter-Small-Orange/dp/B00K95TMIC/ref=sr_1_56?dchild=1&keywords=orange+filament&qid=1593571048&s=industrial&sr=1-56
eSUN, [     ], PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/eSUN-1-75mm-Orange-Filament-Printer/dp/B07NS6TTLG/ref=sr_1_58?dchild=1&keywords=orange+filament&qid=1593571048&s=industrial&sr=1-58
MakerBot, ORANGE, PLA (POLYLACTIC ACID), 2.01 pounds, 1.75 millimeters, https://www.amazon.com/MakerBot-Filament-Diameter-Large-Orange/dp/B00SZ2JZEW/ref=sr_1_61?dchild=1&keywords=orange+filament&qid=1593571048&s=industrial&sr=1-61
TRONXY, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Orange-Printing-Filament-Dimensional-Accuracy/dp/B07X41Y4YG/ref=sr_1_65?dchild=1&keywords=orange+filament&qid=1593571048&s=industrial&sr=1-65
TRONXY, ORANGE, TPU, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Flexible-Orange-Filament-1-75-Material/dp/B07RYRDDH9/ref=sr_1_72?dchild=1&keywords=orange+filament&qid=1593571048&s=industrial&sr=1-72
Polymaker, NATURAL, PLA, 2.20 pounds , 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/PolyLite-Printer-Filament-2-2lb-Orange/dp/B01IAVQQVW/ref=sr_1_75?dchild=1&keywords=orange+filament&qid=1593571048&s=industrial&sr=1-75
Suppy3D, ORANGE, PLA, 2.80 pounds, 1.75 millimeters millimeters, https://www.amazon.com/Supply3d-Print-Filament-1-75mm-Orange/dp/B07S3FC9NS/ref=sr_1_76?dchild=1&keywords=orange+filament&qid=1593571048&s=industrial&sr=1-76
3D Gear, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/3D-Gear-Orange-Filament-Tolerance/dp/B089KV12ZL/ref=sr_1_75?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-75
3D Gear, ORANGE, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/3D-Gear-Orange-Filament-Tolerance/dp/B089KV12ZL/ref=sr_1_75?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-75
TTYT3D, FAST COLOR GRADIENT CHANGE SHINY SILK MULTICOLORED, PLA, 2.20 pounds, 1.75 millimeters millimeters, https://www.amazon.com/TTYT3D-Shine-Orange-Printer-Filament/dp/B07T9H7QJ2/ref=sr_1_76?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-76
Filament PM, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Czech-Made-Orange-Printing-Filament-PM/dp/B0823X4BRZ/ref=sr_1_90?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-90
Filament PM, ORANGE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Czech-Made-Orange-Printing-Filament-PM/dp/B0823X4BRZ/ref=sr_1_90?dchild=1&keywords=orange+filament&qid=1593571049&s=industrial&sr=1-90
