Polymaker, NATURAL, PLA, 2.20 pounds , 2.20 pounds, 1.75 millimeters, https://www.amazon.com/PolyLite-Printer-Filament-2-2lb-Orange/dp/B01IAVQQVW/ref=sr_1_70?dchild=1&keywords=orange+filament&qid=1593651237&s=industrial&sr=1-70
YOYI, TRANSPARENT GREEN, PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.20 pounds, 1.75 millimeters, https://www.amazon.com/YOYI-Filament-Dimensional-Eco-Friendly-Green/dp/B01M6WENG6/ref=sr_1_74?dchild=1&keywords=orange+filament&qid=1593651237&s=industrial&sr=1-74
ZIRO, TRANSLUCENT RED, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/ZIRO-Filament-Dimensional-Accuracy-Translucent/dp/B06ZZ478RL/ref=sr_1_75?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-75
TTYT3D, FAST COLOR GRADIENT CHANGE SHINY SILK MULTICOLORED, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/TTYT3D-Shine-Orange-Printer-Filament/dp/B07T9H7QJ2/ref=sr_1_79?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-79
eSUN, [     ], PETG (POLYETHYLENE TEREPHTALATE GLYCOL-MODIFIED), 2.00 pounds, 3.00 millimeters, https://www.amazon.com/eSUN-Filament-Printer-Diameter-Semi-transparent/dp/B010TWUPDA/ref=sr_1_80?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-80
Flashforge USA, BLUE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Flashforge-USA-Printing-Printer-Filament/dp/B07NVWYJJX/ref=sr_1_81?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-81
eSUN, GRAY, PLA, 3.42 pounds, 1.75 millimeters, https://www.amazon.com/eSUN-1-75mm-Printer-Filament-2-2lbs/dp/B01EKEMUEK/ref=sr_1_82?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-82
3D Solutech, BLUE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/3D-Solutech-Filament-Dimensional-Accuracy/dp/B00MB2TW86/ref=sr_1_84?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-84
Gizmo Dorks, VARIETY PACK B, ABS (ACRYLONITRILE BUTADIENE STYRENE), 2.70 pounds, 2.85 millimeters, https://www.amazon.com/Gizmo-Dorks-Printer-Filament-2-85mm/dp/B07HR3Z57P/ref=sr_1_89?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-89
DO3D, BLACK, SILK PLA 3D PRINTER FILAMENT, 2.65 pounds, 1.75 millimeters, https://www.amazon.com/Printer-Filament-Diameter-Printers-DO3D/dp/B07V6J7YT8/ref=sr_1_94?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-94
Dremel, [     ], PLA, 1.65 pounds, [     ], https://www.amazon.com/Dremel-DigiLab-PLA-ORA-01-Filament-Diameter/dp/B084XSB7TD/ref=sr_1_95?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-95
Flashforge USA, BLACK, ACRYLONITRILE_BUTADIENE_STYRENE, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Flashforge-USA-Printing-Printer-Filament/dp/B07PMLQP12/ref=sr_1_99?dchild=1&keywords=orange+filament&qid=1593651238&s=industrial&sr=1-99
Flashforge USA, BLUE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Flashforge-USA-Printing-Printer-Filament/dp/B07NVWYJJX/ref=sr_1_100?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-100
SHENGTIAN, PURPLE, PLA, 2.20 pounds, 1.75 millimeters, https://www.amazon.com/Filament-Printing-Material-Lavender-SHENGTIAN/dp/B07QRXCF6K/ref=sr_1_101?dchild=1&keywords=orange+filament&qid=1593651240&s=industrial&sr=1-101
